Age,RiskTolerance,InvestmentHorizon,Equity%,Bond%,VTI%,VB%,VEA%,VSS%,VWO%,BND%,BNDX%
45,low,medium,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
45,low,long,60,40,26.6,6.7,14.6,3.4,8.6,24.0,16.0
45,moderate,short,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
45,moderate,medium,65,35,28.9,7.2,15.9,3.6,9.4,21.0,14.0
45,moderate,long,70,30,31.1,7.8,17.1,3.9,10.1,18.0,12.0
45,high,short,60,40,26.6,6.7,14.6,3.4,8.6,24.0,16.0
45,high,medium,70,30,31.1,7.8,17.1,3.9,10.1,18.0,12.0
45,high,long,75,25,33.3,8.3,18.3,4.2,10.8,15.0,10.0
46,low,short,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
46,low,medium,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
46,low,long,59,41,26.2,6.5,14.4,3.3,8.5,24.6,16.4
46,moderate,short,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
46,moderate,medium,64,36,28.4,7.1,15.6,3.6,9.2,21.6,14.4
46,moderate,long,69,31,30.6,7.7,16.8,3.9,9.9,18.6,12.4
46,high,short,59,41,26.2,6.5,14.4,3.3,8.5,24.6,16.4
46,high,medium,69,31,30.6,7.7,16.8,3.9,9.9,18.6,12.4
46,high,long,74,26,32.9,8.2,18.1,4.1,10.7,15.6,10.4
47,low,short,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
47,low,medium,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
47,low,long,58,42,25.8,6.4,14.2,3.2,8.4,25.2,16.8
47,moderate,short,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
47,moderate,medium,63,37,28.0,7.0,15.4,3.5,9.1,22.2,14.8
47,moderate,long,68,32,30.2,7.5,16.6,3.8,9.8,19.2,12.8
47,high,short,58,42,25.8,6.4,14.2,3.2,8.4,25.2,16.8
47,high,medium,68,32,30.2,7.5,16.6,3.8,9.8,19.2,12.8
47,high,long,73,27,32.4,8.1,17.8,4.1,10.5,16.2,10.8
48,low,short,42,58,18.6,4.7,10.2,2.4,6.0,34.8,23.2
48,low,medium,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
48,low,long,57,43,25.3,6.3,13.9,3.2,8.2,25.8,17.2
48,moderate,short,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
48,moderate,medium,62,38,27.5,6.9,15.1,3.5,8.9,22.8,15.2
48,moderate,long,67,33,29.7,7.4,16.3,3.8,9.6,19.8,13.2
48,high,short,57,43,25.3,6.3,13.9,3.2,8.2,25.8,17.2
48,high,medium,67,33,29.7,7.4,16.3,3.8,9.6,19.8,13.2
48,high,long,72,28,32.0,8.0,17.6,4.0,10.4,16.8,11.2
49,low,short,41,59,18.2,4.6,10.0,2.3,5.9,35.4,23.6
49,low,medium,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
49,low,long,56,44,24.9,6.2,13.7,3.1,8.1,26.4,17.6
49,moderate,short,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
49,moderate,medium,61,39,27.1,6.8,14.9,3.4,8.8,23.4,15.6
49,moderate,long,66,34,29.3,7.3,16.1,3.7,9.5,20.4,13.6
49,high,short,56,44,24.9,6.2,13.7,3.1,8.1,26.4,17.6
49,high,medium,66,34,29.3,7.3,16.1,3.7,9.5,20.4,13.6
49,high,long,71,29,31.5,7.9,17.3,4.0,10.2,17.4,11.6
50,low,short,40,60,17.8,4.4,9.8,2.2,5.8,36.0,24.0
50,low,medium,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
50,low,long,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
50,moderate,short,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
50,moderate,medium,60,40,26.6,6.7,14.6,3.4,8.6,24.0,16.0
50,moderate,long,65,35,28.9,7.2,15.9,3.6,9.4,21.0,14.0
50,high,short,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
50,high,medium,65,35,28.9,7.2,15.9,3.6,9.4,21.0,14.0
50,high,long,70,30,31.1,7.8,17.1,3.9,10.1,18.0,12.0
51,low,short,39,61,17.3,4.3,9.5,2.2,5.6,36.6,24.4
51,low,medium,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
51,low,long,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
51,moderate,short,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
51,moderate,medium,59,41,26.2,6.5,14.4,3.3,8.5,24.6,16.4
51,moderate,long,64,36,28.4,7.1,15.6,3.6,9.2,21.6,14.4
51,high,short,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
51,high,medium,64,36,28.4,7.1,15.6,3.6,9.2,21.6,14.4
51,high,long,69,31,30.6,7.7,16.8,3.9,9.9,18.6,12.4
52,low,short,38,62,16.9,4.2,9.3,2.1,5.5,37.2,24.8
52,low,medium,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
52,low,long,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
52,moderate,short,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
52,moderate,medium,58,42,25.8,6.4,14.2,3.2,8.4,25.2,16.8
52,moderate,long,63,37,28.0,7.0,15.4,3.5,9.1,22.2,14.8
52,high,short,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
52,high,medium,63,37,28.0,7.0,15.4,3.5,9.1,22.2,14.8
52,high,long,68,32,30.2,7.5,16.6,3.8,9.8,19.2,12.8
53,low,short,37,63,16.4,4.1,9.0,2.1,5.3,37.8,25.2
53,low,medium,47,53,20.9,5.2,11.5,2.6,6.8,31.8,21.2
53,low,long,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
53,moderate,short,47,53,20.9,5.2,11.5,2.6,6.8,31.8,21.2
53,moderate,medium,57,43,25.3,6.3,13.9,3.2,8.2,25.8,17.2
53,moderate,long,62,38,27.5,6.9,15.1,3.5,8.9,22.8,15.2
53,high,short,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
53,high,medium,62,38,27.5,6.9,15.1,3.5,8.9,22.8,15.2
53,high,long,67,33,29.7,7.4,16.3,3.8,9.6,19.8,13.2
54,low,short,36,64,16.0,4.0,8.8,2.0,5.2,38.4,25.6
54,low,medium,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
54,low,long,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
54,moderate,short,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
54,moderate,medium,56,44,24.9,6.2,13.7,3.1,8.1,26.4,17.6
54,moderate,long,61,39,27.1,6.8,14.9,3.4,8.8,23.4,15.6
54,high,short,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
54,high,medium,61,39,27.1,6.8,14.9,3.4,8.8,23.4,15.6
54,high,long,66,34,29.3,7.3,16.1,3.7,9.5,20.4,13.6
55,low,short,35,65,15.5,3.9,8.5,2.0,5.0,39.0,26.0
55,low,medium,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
55,low,long,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
55,moderate,short,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
55,moderate,medium,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
55,moderate,long,60,40,26.6,6.7,14.6,3.4,8.6,24.0,16.0
55,high,short,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
55,high,medium,60,40,26.6,6.7,14.6,3.4,8.6,24.0,16.0
55,high,long,65,35,28.9,7.2,15.9,3.6,9.4,21.0,14.0
56,low,short,34,66,15.1,3.8,8.3,1.9,4.9,39.6,26.4
56,low,medium,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
56,low,long,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
56,moderate,short,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
56,moderate,medium,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
56,moderate,long,59,41,26.2,6.5,14.4,3.3,8.5,24.6,16.4
56,high,short,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
56,high,medium,59,41,26.2,6.5,14.4,3.3,8.5,24.6,16.4
56,high,long,64,36,28.4,7.1,15.6,3.6,9.2,21.6,14.4
57,low,short,33,67,14.7,3.7,8.1,1.8,4.8,40.2,26.8
57,low,medium,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
57,low,long,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
57,moderate,short,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
57,moderate,medium,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
57,moderate,long,58,42,25.8,6.4,14.2,3.2,8.4,25.2,16.8
57,high,short,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
57,high,medium,58,42,25.8,6.4,14.2,3.2,8.4,25.2,16.8
57,high,long,63,37,28.0,7.0,15.4,3.5,9.1,22.2,14.8
58,low,short,32,68,14.2,3.6,7.8,1.8,4.6,40.8,27.2
58,low,medium,42,58,18.6,4.7,10.2,2.4,6.0,34.8,23.2
58,low,long,47,53,20.9,5.2,11.5,2.6,6.8,31.8,21.2
58,moderate,short,42,58,18.6,4.7,10.2,2.4,6.0,34.8,23.2
58,moderate,medium,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
58,moderate,long,57,43,25.3,6.3,13.9,3.2,8.2,25.8,17.2
58,high,short,47,53,20.9,5.2,11.5,2.6,6.8,31.8,21.2
58,high,medium,57,43,25.3,6.3,13.9,3.2,8.2,25.8,17.2
58,high,long,62,38,27.5,6.9,15.1,3.5,8.9,22.8,15.2
59,low,short,31,69,13.8,3.4,7.6,1.7,4.5,41.4,27.6
59,low,medium,41,59,18.2,4.6,10.0,2.3,5.9,35.4,23.6
59,low,long,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
59,moderate,short,41,59,18.2,4.6,10.0,2.3,5.9,35.4,23.6
59,moderate,medium,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
59,moderate,long,56,44,24.9,6.2,13.7,3.1,8.1,26.4,17.6
59,high,short,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
59,high,medium,56,44,24.9,6.2,13.7,3.1,8.1,26.4,17.6
59,high,long,61,39,27.1,6.8,14.9,3.4,8.8,23.4,15.6
60,low,short,30,70,13.3,3.3,7.3,1.7,4.3,42.0,28.0
60,low,medium,40,60,17.8,4.4,9.8,2.2,5.8,36.0,24.0
60,low,long,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
60,moderate,short,40,60,17.8,4.4,9.8,2.2,5.8,36.0,24.0
60,moderate,medium,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
60,moderate,long,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
60,high,short,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
60,high,medium,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
60,high,long,60,40,26.6,6.7,14.6,3.4,8.6,24.0,16.0
61,low,short,29,71,12.9,3.2,7.1,1.6,4.2,42.6,28.4
61,low,medium,39,61,17.3,4.3,9.5,2.2,5.6,36.6,24.4
61,low,long,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
61,moderate,short,39,61,17.3,4.3,9.5,2.2,5.6,36.6,24.4
61,moderate,medium,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
61,moderate,long,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
61,high,short,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
61,high,medium,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
61,high,long,59,41,26.2,6.5,14.4,3.3,8.5,24.6,16.4
62,low,short,28,72,12.4,3.1,6.8,1.6,4.0,43.2,28.8
62,low,medium,38,62,16.9,4.2,9.3,2.1,5.5,37.2,24.8
62,low,long,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
62,moderate,short,38,62,16.9,4.2,9.3,2.1,5.5,37.2,24.8
62,moderate,medium,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
62,moderate,long,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
62,high,short,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
62,high,medium,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
62,high,long,58,42,25.8,6.4,14.2,3.2,8.4,25.2,16.8
63,low,short,27,73,12.0,3.0,6.6,1.5,3.9,43.8,29.2
63,low,medium,37,63,16.4,4.1,9.0,2.1,5.3,37.8,25.2
63,low,long,42,58,18.6,4.7,10.2,2.4,6.0,34.8,23.2
63,moderate,short,37,63,16.4,4.1,9.0,2.1,5.3,37.8,25.2
63,moderate,medium,47,53,20.9,5.2,11.5,2.6,6.8,31.8,21.2
63,moderate,long,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
63,high,short,42,58,18.6,4.7,10.2,2.4,6.0,34.8,23.2
63,high,medium,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
63,high,long,57,43,25.3,6.3,13.9,3.2,8.2,25.8,17.2
64,low,short,26,74,11.5,2.9,6.3,1.5,3.7,44.4,29.6
64,low,medium,36,64,16.0,4.0,8.8,2.0,5.2,38.4,25.6
64,low,long,41,59,18.2,4.6,10.0,2.3,5.9,35.4,23.6
64,moderate,short,36,64,16.0,4.0,8.8,2.0,5.2,38.4,25.6
64,moderate,medium,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
64,moderate,long,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
64,high,short,41,59,18.2,4.6,10.0,2.3,5.9,35.4,23.6
64,high,medium,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
64,high,long,56,44,24.9,6.2,13.7,3.1,8.1,26.4,17.6
65,low,short,25,75,11.1,2.8,6.1,1.4,3.6,45.0,30.0
65,low,medium,35,65,15.5,3.9,8.5,2.0,5.0,39.0,26.0
65,low,long,40,60,17.8,4.4,9.8,2.2,5.8,36.0,24.0
65,moderate,short,35,65,15.5,3.9,8.5,2.0,5.0,39.0,26.0
65,moderate,medium,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
65,moderate,long,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
65,high,short,40,60,17.8,4.4,9.8,2.2,5.8,36.0,24.0
65,high,medium,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
65,high,long,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
66,low,short,24,76,10.7,2.7,5.9,1.3,3.5,45.6,30.4
66,low,medium,34,66,15.1,3.8,8.3,1.9,4.9,39.6,26.4
66,low,long,39,61,17.3,4.3,9.5,2.2,5.6,36.6,24.4
66,moderate,short,34,66,15.1,3.8,8.3,1.9,4.9,39.6,26.4
66,moderate,medium,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
66,moderate,long,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
66,high,short,39,61,17.3,4.3,9.5,2.2,5.6,36.6,24.4
66,high,medium,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
66,high,long,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
67,low,short,23,77,10.2,2.6,5.6,1.3,3.3,46.2,30.8
67,low,medium,33,67,14.7,3.7,8.1,1.8,4.8,40.2,26.8
67,low,long,38,62,16.9,4.2,9.3,2.1,5.5,37.2,24.8
67,moderate,short,33,67,14.7,3.7,8.1,1.8,4.8,40.2,26.8
67,moderate,medium,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
67,moderate,long,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
67,high,short,38,62,16.9,4.2,9.3,2.1,5.5,37.2,24.8
67,high,medium,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
67,high,long,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
68,low,short,22,78,9.8,2.4,5.4,1.2,3.2,46.8,31.2
68,low,medium,32,68,14.2,3.6,7.8,1.8,4.6,40.8,27.2
68,low,long,37,63,16.4,4.1,9.0,2.1,5.3,37.8,25.2
68,moderate,short,32,68,14.2,3.6,7.8,1.8,4.6,40.8,27.2
68,moderate,medium,42,58,18.6,4.7,10.2,2.4,6.0,34.8,23.2
68,moderate,long,47,53,20.9,5.2,11.5,2.6,6.8,31.8,21.2
68,high,short,37,63,16.4,4.1,9.0,2.1,5.3,37.8,25.2
68,high,medium,47,53,20.9,5.2,11.5,2.6,6.8,31.8,21.2
68,high,long,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
69,low,short,21,79,9.3,2.3,5.1,1.2,3.0,47.4,31.6
69,low,medium,31,69,13.8,3.4,7.6,1.7,4.5,41.4,27.6
69,low,long,36,64,16.0,4.0,8.8,2.0,5.2,38.4,25.6
69,moderate,short,31,69,13.8,3.4,7.6,1.7,4.5,41.4,27.6
69,moderate,medium,41,59,18.2,4.6,10.0,2.3,5.9,35.4,23.6
69,moderate,long,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
69,high,short,36,64,16.0,4.0,8.8,2.0,5.2,38.4,25.6
69,high,medium,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
69,high,long,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
70,low,short,20,80,8.9,2.2,4.9,1.1,2.9,48.0,32.0
70,low,medium,30,70,13.3,3.3,7.3,1.7,4.3,42.0,28.0
70,low,long,35,65,15.5,3.9,8.5,2.0,5.0,39.0,26.0
70,moderate,short,30,70,13.3,3.3,7.3,1.7,4.3,42.0,28.0
70,moderate,medium,40,60,17.8,4.4,9.8,2.2,5.8,36.0,24.0
70,moderate,long,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
70,high,short,35,65,15.5,3.9,8.5,2.0,5.0,39.0,26.0
70,high,medium,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
70,high,long,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
71,low,short,19,81,8.4,2.1,4.6,1.1,2.7,48.6,32.4
71,low,medium,29,71,12.9,3.2,7.1,1.6,4.2,42.6,28.4
71,low,long,34,66,15.1,3.8,8.3,1.9,4.9,39.6,26.4
71,moderate,short,29,71,12.9,3.2,7.1,1.6,4.2,42.6,28.4
71,moderate,medium,39,61,17.3,4.3,9.5,2.2,5.6,36.6,24.4
71,moderate,long,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
71,high,short,34,66,15.1,3.8,8.3,1.9,4.9,39.6,26.4
71,high,medium,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
71,high,long,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
72,low,short,18,82,8.0,2.0,4.4,1.0,2.6,49.2,32.8
72,low,medium,28,72,12.4,3.1,6.8,1.6,4.0,43.2,28.8
72,low,long,33,67,14.7,3.7,8.1,1.8,4.8,40.2,26.8
72,moderate,short,28,72,12.4,3.1,6.8,1.6,4.0,43.2,28.8
72,moderate,medium,38,62,16.9,4.2,9.3,2.1,5.5,37.2,24.8
72,moderate,long,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
